[2025-04-27 14:35:54.589783] | No suspicious object | ALERT: NO
[2025-04-27 14:35:56.593112] | No suspicious object | ALERT: NO
[2025-04-27 14:35:58.587577] | No suspicious object | ALERT: NO
[2025-04-27 14:36:00.586339] | No suspicious object | ALERT: NO
[2025-04-27 14:36:02.598716] | No suspicious object | ALERT: NO
[2025-04-27 14:36:04.589592] | No suspicious object | ALERT: NO
[2025-04-27 14:36:06.584283] | No suspicious object | ALERT: NO
[2025-04-27 14:36:10.094618] | No suspicious object | ALERT: NO
[2025-04-27 14:36:10.581342] | No suspicious object | ALERT: NO
[2025-04-27 14:36:12.584121] | No suspicious object | ALERT: NO
[2025-04-27 14:36:13.368810] | Pistol | ALERT: YES
[2025-04-27 14:36:15.412116] | No suspicious object | ALERT: NO
[2025-04-27 14:36:17.414938] | No suspicious object | ALERT: NO
[2025-04-27 14:36:19.423063] | No suspicious object | ALERT: NO
[2025-04-27 14:36:21.412425] | No suspicious object | ALERT: NO
[2025-04-27 14:36:23.411752] | No suspicious object | ALERT: NO
[2025-04-27 14:36:25.414607] | No suspicious object | ALERT: NO
[2025-04-27 14:36:27.738904] | No suspicious object | ALERT: NO
[2025-04-27 14:36:29.750236] | No suspicious object | ALERT: NO
[2025-04-27 14:36:31.743084] | No suspicious object | ALERT: NO
[2025-04-27 14:36:33.749655] | No suspicious object | ALERT: NO
[2025-04-27 14:36:35.749100] | No suspicious object | ALERT: NO
[2025-04-27 14:36:37.416611] | No suspicious object | ALERT: NO
[2025-04-27 14:36:39.412012] | No suspicious object | ALERT: NO
[2025-04-27 14:36:41.413064] | No suspicious object | ALERT: NO
[2025-04-27 14:36:43.414950] | No suspicious object | ALERT: NO
[2025-04-27 14:36:45.422011] | No suspicious object | ALERT: NO
[2025-04-27 14:36:47.426131] | No suspicious object | ALERT: NO
[2025-04-27 14:36:49.439379] | No suspicious object | ALERT: NO
[2025-04-27 14:36:53.736368] | No suspicious object | ALERT: NO
[2025-04-27 14:36:55.739323] | No suspicious object | ALERT: NO
[2025-04-27 14:36:57.742630] | No suspicious object | ALERT: NO
[2025-04-27 14:36:59.751530] | No suspicious object | ALERT: NO
[2025-04-27 14:37:01.742351] | No suspicious object | ALERT: NO
[2025-04-27 14:37:03.751642] | No suspicious object | ALERT: NO
[2025-04-27 14:37:05.459932] | No suspicious object | ALERT: NO
[2025-04-27 14:37:07.739865] | No suspicious object | ALERT: NO
[2025-04-27 14:37:09.420113] | No suspicious object | ALERT: NO
[2025-04-27 14:37:11.413119] | No suspicious object | ALERT: NO
[2025-04-27 14:37:13.409694] | No suspicious object | ALERT: NO
[2025-04-27 14:37:15.742844] | No suspicious object | ALERT: NO
[2025-04-27 14:37:17.752024] | No suspicious object | ALERT: NO
[2025-04-27 14:37:19.744458] | No suspicious object | ALERT: NO
[2025-04-27 14:37:21.740409] | No suspicious object | ALERT: NO
[2025-04-27 14:37:23.739336] | No suspicious object | ALERT: NO
[2025-04-27 14:37:25.738479] | No suspicious object | ALERT: NO
[2025-04-27 14:37:27.738061] | No suspicious object | ALERT: NO
[2025-04-27 14:37:29.743723] | No suspicious object | ALERT: NO
[2025-04-27 14:37:31.741218] | No suspicious object | ALERT: NO
[2025-04-27 14:37:33.753418] | No suspicious object | ALERT: NO
[2025-04-27 14:37:35.746942] | No suspicious object | ALERT: NO
[2025-04-27 14:37:37.749220] | No suspicious object | ALERT: NO
[2025-04-27 14:37:39.750438] | No suspicious object | ALERT: NO
[2025-04-27 14:37:41.743314] | No suspicious object | ALERT: NO
[2025-04-27 14:37:43.738336] | No suspicious object | ALERT: NO
[2025-04-27 14:37:45.748515] | No suspicious object | ALERT: NO
